X,Y,Z
-6.581277106742310090e-02,4.578419302890679998e-01,1.360443440454932045e+02
2.724744724994779960e-02,3.474971650657059929e-01,1.359173791666391082e+02
1.337580995565021968e-01,2.212378931655870073e-01,1.357902695303324947e+02
2.447904998501355955e-01,8.962861287857269710e-02,1.356631688645316558e+02
3.385513583645415880e-01,-2.154474977021890100e-02,1.355364084558143816e+02
4.336946688429350050e-01,-1.343537072041603997e-01,1.354096958556246193e+02
5.515467435181434785e-01,-2.740316090688106887e-01,1.352827315632129910e+02
6.573816829066093659e-01,-3.994906473312105910e-01,1.351560197519414999e+02
7.562193469836273607e-01,-5.166703545905826367e-01,1.350294788033559428e+02
9.100904136214508222e-01,-6.989654762295595125e-01,1.349023007621352122e+02
1.027438634572650056e+00,-8.380465566375323583e-01,1.347756956643410717e+02
1.161782164011313956e+00,-9.972363044667792442e-01,1.346489729342976318e+02
1.278486077093623274e+00,-1.135554700499002312e+00,1.345225568853073810e+02
1.399391488580744358e+00,-1.278844135868956844e+00,1.343961803712776373e+02
1.468222539377861402e+00,-1.360519194259516507e+00,1.342704574339988710e+02
1.557781325102379544e+00,-1.466719133971652100e+00,1.341445660688943065e+02
1.643191314906957023e+00,-1.568010118024320221e+00,1.340187805493065127e+02
1.728633205331651768e+00,-1.669338732416894899e+00,1.338930556649160053e+02
1.800314218276807043e+00,-1.754385450918059197e+00,1.337675181002240095e+02
1.920114487924375224e+00,-1.896366433698069898e+00,1.336416080957316979e+02
2.038713104957478706e+00,-2.036925463407202042e+00,1.335157973387909465e+02
2.152412103544007138e+00,-2.171687142093721157e+00,1.333901137117175324e+02
2.253177572702270037e+00,-2.291145834277231952e+00,1.332646116705329860e+02
2.346897236798556996e+00,-2.402267864692383181e+00,1.331392333104381009e+02
2.430214886528476281e+00,-2.501082219941412443e+00,1.330139924808074738e+02
2.563327558130520600e+00,-2.658813344314045590e+00,1.328884969676238939e+02
2.680038907329264752e+00,-2.797138443247320971e+00,1.327631981587843484e+02
2.804942517309157335e+00,-2.945156353006617156e+00,1.326379410782710124e+02
2.902804128004440987e+00,-3.061178377351552182e+00,1.325129142413162526e+02
3.042352367007230107e+00,-3.226523264209514963e+00,1.323877645451688352e+02
3.143590907425880321e+00,-3.346540520157716081e+00,1.322628825956219600e+02
3.249967785847997170e+00,-3.472637234507252035e+00,1.321380547796603082e+02
3.312404966508326165e+00,-3.546745110334192930e+00,1.320134551574758746e+02
3.411661686221780787e+00,-3.664417122508888625e+00,1.318887867105870839e+02
3.519899458405717940e+00,-3.792715211885162585e+00,1.317641670753451706e+02
3.657813020809854265e+00,-3.956124966427860823e+00,1.316395621256119739e+02
3.732491133283282192e+00,-4.044715627862640162e+00,1.315151732417047299e+02
3.845095916304276162e+00,-4.178180227936757696e+00,1.313907845788536122e+02
3.954625877496489750e+00,-4.308006610285044502e+00,1.312664819238579241e+02
4.036818977176520384e+00,-4.405488486225769051e+00,1.311422746032016562e+02
4.138279121181935416e+00,-4.525766568881903318e+00,1.310181228285385941e+02
4.254260988595826021e+00,-4.663226264827713408e+00,1.308940490025674990e+02
4.346888993940886792e+00,-4.773054093173494827e+00,1.307700448509816056e+02
4.409337780619090097e+00,-4.847174521461026231e+00,1.306460741448311751e+02
4.488514579234630375e+00,-4.941087011700145304e+00,1.305221705704589112e+02
