X,Y,Z
1.3993914885807444,-1.2788441358689568,134.39618037127764
1.4682225393778614,-1.3605191942595165,134.27045743399887
1.5577813251023795,-1.466719133971652,134.1445660688943
1.643191314906957,-1.5680101180243202,134.0187805493065
1.7286332053316518,-1.669338732416895,133.893055664916
1.800314218276807,-1.7543854509180592,133.767518100224
3.249967785847997,-3.472637234507252,132.1380547796603
3.312404966508326,-3.546745110334193,132.01345515747587
3.411661686221781,-3.6644171225088886,131.88878671058708
3.519899458405718,-3.7927152118851626,131.76416707534517
3.9546258774964897,-4.3080066102850445,131.26648192385792
4.03681897717652,-4.405488486225769,131.14227460320166
4.138279121181935,-4.525766568881903,131.0181228285386
4.254260988595826,-4.663226264827713,130.8940490025675
4.346888993940887,-4.773054093173495,130.7700448509816
4.40933778061909,-4.847174521461026,130.64607414483118
4.48851457923463,-4.941087011700145,130.5221705704589
4.556703482564763,-5.021998819481251,130.39830154010338
4.603628956739734,-5.077752246256965,130.2744297530392
4.718482870072439,-5.213876592067133,130.150772657425
4.80812393310908,-5.320169679587178,130.02712115193552
4.888924306196492,-5.416002610613353,129.90350236470948
4.960025281167326,-5.500359408693914,129.7799020429619
5.093401999228491,-5.658398790120245,129.6566227723074
5.174576822011516,-5.754674405021837,129.5331938817971
5.254122156576122,-5.849021956709462,129.40981368115894
5.3216231978182815,-5.929119007356051,129.2864218626574
5.406076620652056,-6.029273437572755,129.16317782118736
5.483122359324629,-6.120663248165251,129.0399460583877
5.556478744287113,-6.207687849188994,128.91674285810677
5.618107453128634,-6.280836605289967,128.7935055717616
5.6978675234325005,-6.375437622293425,128.67044792138148
5.743244742774379,-6.429358077670912,128.54716954661697
5.8590189665757055,-6.566569434331527,128.4245141890361
5.941781833057735,-6.664722922917686,128.3016515811242
6.005432172455418,-6.740263144716592,128.17867009057255
6.045775294999305,-6.78822716201212,128.0555057588687
6.122377298604308,-6.879091098888799,127.93273088994796
6.194031758248097,-6.96410121626091,127.80995739338414
6.289781991552547,-7.077620297719623,127.6874958634524
11.337872376875172,-13.061476542936784,121.782181061433
10.984603783154236,-12.644204659031663,121.40512309564082
11.301101716702703,-13.018201126492707,121.65913986448535
11.29928876930778,-13.016284836831868,121.5371713115774
10.953702016344444,-12.607873219563167,121.2820599111234
11.01910950406769,-12.685486718651674,121.1621384884306
10.976389303899447,-12.63517278375914,121.0386512785708
10.924596818994518,-12.574125392562026,120.91481412766224
11.081504710559594,-12.760222989576528,120.67599611130105
11.157558784449048,-12.849974567212865,120.80066052439214
11.074956704147931,-12.752704916255825,120.55369371271304
11.07583621126999,-12.753974435439147,120.43163964629012
11.192103003514092,-12.891759728058242,120.31370813242108
11.0979958222232,-12.780649640403851,120.1882442177643
11.576960410083576,-13.35029035221335,118.6200152610124
11.561871213224563,-13.33266722481549,118.49735010709064
